date;new_cases;new_deaths;new_tests
31/12/2019;0.0;0.0;
1/1/2020;0.0;0.0;
2/1/2020;0.0;0.0;
3/1/2020;0.0;0.0;
4/1/2020;0.0;0.0;
5/1/2020;0.0;0.0;
6/1/2020;0.0;0.0;
7/1/2020;0.0;0.0;
8/1/2020;0.0;0.0;
9/1/2020;0.0;0.0;
10/1/2020;0.0;0.0;
11/1/2020;0.0;0.0;
12/1/2020;0.0;0.0;
13/1/2020;0.0;0.0;
14/1/2020;0.0;0.0;
15/1/2020;0.0;0.0;
16/1/2020;0.0;0.0;
17/1/2020;0.0;0.0;
18/1/2020;0.0;0.0;
19/1/2020;0.0;0.0;
20/1/2020;0.0;0.0;
21/1/2020;0.0;0.0;
22/1/2020;0.0;0.0;
23/1/2020;0.0;0.0;
24/1/2020;0.0;0.0;
25/1/2020;0.0;0.0;
26/1/2020;0.0;0.0;
27/1/2020;0.0;0.0;
28/1/2020;0.0;0.0;
29/1/2020;0.0;0.0;
30/1/2020;0.0;0.0;
31/1/2020;3.0;0.0;
1/2/2020;0.0;0.0;
2/2/2020;0.0;0.0;
3/2/2020;0.0;0.0;
4/2/2020;0.0;0.0;
5/2/2020;0.0;0.0;
6/2/2020;0.0;0.0;
7/2/2020;0.0;0.0;
8/2/2020;0.0;0.0;
9/2/2020;0.0;0.0;
10/2/2020;0.0;0.0;
11/2/2020;0.0;0.0;
12/2/2020;0.0;0.0;
13/2/2020;0.0;0.0;
14/2/2020;0.0;0.0;
15/2/2020;0.0;0.0;
16/2/2020;0.0;0.0;
17/2/2020;0.0;0.0;
18/2/2020;0.0;0.0;
19/2/2020;0.0;0.0;
20/2/2020;0.0;0.0;
21/2/2020;0.0;0.0;
22/2/2020;14.0;0.0;
23/2/2020;62.0;2.0;
24/2/2020;53.0;0.0;
25/2/2020;97.0;4.0;
26/2/2020;93.0;5.0;
27/2/2020;78.0;1.0;
28/2/2020;250.0;5.0;
29/2/2020;238.0;4.0;
1/3/2020;240.0;8.0;
2/3/2020;561.0;6.0;
3/3/2020;347.0;17.0;
4/3/2020;466.0;28.0;
5/3/2020;587.0;27.0;
6/3/2020;769.0;41.0;
7/3/2020;778.0;49.0;
8/3/2020;1247.0;36.0;
9/3/2020;1492.0;133.0;
10/3/2020;1797.0;98.0;
11/3/2020;977.0;167.0;
12/3/2020;2313.0;196.0;
13/3/2020;2651.0;189.0;
14/3/2020;2547.0;252.0;
15/3/2020;3497.0;173.0;
16/3/2020;2823.0;370.0;
17/3/2020;4000.0;347.0;
18/3/2020;3526.0;347.0;
19/3/2020;4207.0;473.0;
20/3/2020;5322.0;429.0;
21/3/2020;5986.0;625.0;
22/3/2020;6557.0;795.0;
23/3/2020;5560.0;649.0;
24/3/2020;4789.0;601.0;
25/3/2020;5249.0;743.0;
26/3/2020;5210.0;685.0;
27/3/2020;6153.0;660.0;
28/3/2020;5959.0;971.0;
29/3/2020;5974.0;887.0;
30/3/2020;5217.0;758.0;
31/3/2020;4050.0;810.0;
1/4/2020;4053.0;839.0;
2/4/2020;4782.0;727.0;
3/4/2020;4668.0;760.0;
4/4/2020;4585.0;764.0;
5/4/2020;4805.0;681.0;
6/4/2020;4316.0;527.0;
7/4/2020;3599.0;636.0;
8/4/2020;3039.0;604.0;
9/4/2020;3836.0;540.0;
10/4/2020;4204.0;612.0;
11/4/2020;3951.0;570.0;
12/4/2020;4694.0;619.0;
13/4/2020;4092.0;431.0;
14/4/2020;3153.0;564.0;
15/4/2020;2972.0;604.0;
16/4/2020;2667.0;578.0;
17/4/2020;3786.0;525.0;
18/4/2020;3493.0;575.0;
19/4/2020;3491.0;480.0;
20/4/2020;3047.0;433.0;7841.0
21/4/2020;2256.0;454.0;28095.0
22/4/2020;2729.0;534.0;44248.0
23/4/2020;3370.0;437.0;37083.0
24/4/2020;2646.0;464.0;95273.0
25/4/2020;3021.0;420.0;38676.0
26/4/2020;2357.0;415.0;24113.0
27/4/2020;2324.0;260.0;26678.0
28/4/2020;1739.0;333.0;37554.0
29/4/2020;2091.0;382.0;38589.0
30/4/2020;2086.0;323.0;41441.0
1/5/2020;1872.0;285.0;43732.0
2/5/2020;1965.0;269.0;31231.0
3/5/2020;1900.0;474.0;27047.0
4/5/2020;1389.0;174.0;22999.0
5/5/2020;1221.0;195.0;32211.0
6/5/2020;1075.0;236.0;37771.0
7/5/2020;1444.0;369.0;13665.0
8/5/2020;1401.0;274.0;45428.0
9/5/2020;1327.0;243.0;36091.0
10/5/2020;1083.0;194.0;31384.0
11/5/2020;802.0;165.0;25823.0
12/5/2020;744.0;179.0;39620.0
13/5/2020;1402.0;172.0;37049.0
14/5/2020;888.0;195.0;41131.0
15/5/2020;992.0;262.0;39027.0
16/5/2020;789.0;242.0;40657.0
17/5/2020;875.0;153.0;33505.0
18/5/2020;675.0;145.0;26101.0
19/5/2020;451.0;99.0;40226.0
20/5/2020;813.0;162.0;38617.0
21/5/2020;665.0;161.0;40644.0
22/5/2020;642.0;156.0;42987.0
23/5/2020;652.0;130.0;42579.0
24/5/2020;669.0;119.0;34206.0
25/5/2020;531.0;50.0;20676.0
26/5/2020;300.0;92.0;33944.0
27/5/2020;397.0;78.0;37299.0
28/5/2020;584.0;117.0;39838.0
29/5/2020;593.0;70.0;38233.0
30/5/2020;516.0;87.0;36051.0
31/5/2020;416.0;111.0;28948.0
1/6/2020;355.0;75.0;18053.0
2/6/2020;178.0;60.0;25628.0
3/6/2020;318.0;55.0;20035.0
4/6/2020;321.0;71.0;27451.0
5/6/2020;177.0;88.0;40470.0
6/6/2020;518.0;85.0;34036.0
7/6/2020;270.0;72.0;27894.0
8/6/2020;197.0;53.0;16301.0
9/6/2020;280.0;65.0;32200.0
10/6/2020;283.0;79.0;37865.0
11/6/2020;202.0;71.0;32991.0
12/6/2020;379.0;53.0;37651.0
13/6/2020;163.0;56.0;32880.0
14/6/2020;346.0;78.0;29545.0
15/6/2020;338.0;44.0;17463.0
16/6/2020;301.0;26.0;27762.0
17/6/2020;210.0;34.0;33957.0
18/6/2020;328.0;43.0;32921.0
19/6/2020;331.0;66.0;28570.0
20/6/2020;-148.0;47.0;29875.0
21/6/2020;264.0;49.0;24581.0
22/6/2020;224.0;24.0;16152.0
23/6/2020;221.0;23.0;23225.0
24/6/2020;113.0;18.0;30237.0
25/6/2020;577.0;-31.0;29421.0
26/6/2020;296.0;34.0;28331.0
27/6/2020;255.0;30.0;29721.0
28/6/2020;175.0;8.0;21183.0
29/6/2020;174.0;22.0;15484.0
30/6/2020;126.0;6.0;28471.0
1/7/2020;142.0;23.0;29325.0
2/7/2020;182.0;21.0;29147.0
3/7/2020;201.0;30.0;25680.0
4/7/2020;223.0;15.0;28946.0
5/7/2020;235.0;21.0;21166.0
6/7/2020;192.0;7.0;13771.0
7/7/2020;208.0;8.0;22490.0
8/7/2020;137.0;30.0;28679.0
9/7/2020;193.0;15.0;29947.0
10/7/2020;214.0;12.0;27251.0
11/7/2020;276.0;12.0;25449.0
12/7/2020;188.0;7.0;23061.0
13/7/2020;234.0;9.0;14006.0
14/7/2020;169.0;13.0;24222.0
15/7/2020;114.0;17.0;28392.0
16/7/2020;162.0;13.0;28089.0
17/7/2020;230.0;20.0;28661.0
18/7/2020;231.0;11.0;27569.0
19/7/2020;249.0;14.0;20621.0
